gene_id,HBR1,HBR2,UHRR1,UHRR2
ENSG00000225373.4,6,1,23,13
ENSG00000267588.2,0,0,2,2
ENSG00000233630.4,1,0,0,0
ENSG00000266945.2,0,0,0,0
ENSG00000267310.1,0,0,2,0
ENSG00000176695.5,0,1,0,0
ENSG00000267792.1,0,0,0,0
ENSG00000266971.1,0,0,0,0
ENSG00000267616.1,0,0,0,0
ENSG00000267290.1,0,0,1,0
ENSG00000267237.2,4,2,3,2
ENSG00000267639.2,2,1,5,2
ENSG00000272098.1,20,12,52,57
ENSG00000267029.3,0,0,0,0
ENSG00000206082.8,14,22,64,77
ENSG00000222329.1,0,0,0,0
ENSG00000267600.1,5,6,19,23
ENSG00000267305.1,0,3,0,1
ENSG00000271846.1,0,0,0,0
ENSG00000267447.1,0,0,0,0
ENSG00000141934.5,59,82,163,142
ENSG00000267124.2,0,0,0,0
ENSG00000105556.6,51,65,165,187
ENSG00000105549.6,3,1,3,6
ENSG00000267443.1,0,0,0,0
ENSG00000183186.6,126,154,18,15
ENSG00000129946.6,224,257,104,151
ENSG00000252539.1,0,0,0,0
ENSG00000181781.5,2,3,0,3
ENSG00000099866.10,24,25,19,11
ENSG00000266933.1,2,3,1,0
ENSG00000141933.8,30,44,35,24
ENSG00000099804.4,211,272,472,483
ENSG00000197540.3,0,0,17,15
ENSG00000267751.1,2,4,15,20
ENSG00000172270.14,2567,3170,6086,6468
ENSG00000099822.2,713,844,142,180
ENSG00000267036.1,0,1,0,0
ENSG00000266939.1,0,0,0,0
ENSG00000099821.9,238,236,525,555
ENSG00000272448.1,0,0,0,0
ENSG00000261204.1,0,2,0,4
ENSG00000070388.7,14,9,1,2
ENSG00000070423.13,211,223,425,462
ENSG00000267666.1,3,2,0,0
ENSG00000070404.5,36,52,316,379
ENSG00000185198.7,0,0,3,2
ENSG00000213726.4,0,0,0,0
ENSG00000099864.13,2437,2787,186,202
ENSG00000099812.6,1,2,200,258
ENSG00000272473.1,1,0,4,5
ENSG00000267530.2,1,2,13,13
ENSG00000266927.2,0,0,1,4
ENSG00000011304.12,145,194,3905,4188
ENSG00000265767.1,0,0,0,0
ENSG00000129951.14,196,198,92,113
ENSG00000263414.1,0,0,0,0
ENSG00000172232.5,2,7,156,223
ENSG00000196415.5,3,4,109,142
ENSG00000197561.2,0,0,344,312
ENSG00000197766.3,1,0,79,90
ENSG00000175221.10,205,224,317,339
ENSG00000207507.1,0,3,0,0
ENSG00000198858.5,174,213,348,383
ENSG00000116014.5,0,1,6,13
ENSG00000116017.6,22,32,675,718
ENSG00000267159.1,0,0,0,3
ENSG00000065268.6,86,65,276,295
ENSG00000269169.1,0,0,0,0
ENSG00000266990.1,0,0,0,1
ENSG00000116032.5,1,1,22,23
ENSG00000182087.8,421,524,1098,1283
ENSG00000207357.1,0,1,2,1
ENSG00000064666.10,17,24,1687,1760
ENSG00000267020.1,0,0,0,0
ENSG00000064687.8,39,29,300,372
ENSG00000180448.6,40,50,626,696
ENSG00000099817.7,416,579,847,958
ENSG00000167468.12,1062,1315,1428,1492
ENSG00000064932.11,42,56,642,602
ENSG00000118046.10,222,330,461,507
ENSG00000267736.1,0,0,0,0
ENSG00000099625.8,149,227,60,62
ENSG00000267778.1,6,10,0,2
ENSG00000099624.3,343,391,415,488
ENSG00000167470.8,219,272,963,1020
ENSG00000099622.9,1727,2077,1093,1112
ENSG00000267493.2,2,4,25,12
ENSG00000228300.9,40,52,184,168
ENSG00000160953.10,359,412,347,391
ENSG00000099617.2,4,11,58,53
ENSG00000240846.1,0,0,2,2
ENSG00000267372.1,58,72,11,12
ENSG00000267755.1,0,0,0,0
ENSG00000115286.15,193,197,204,196
ENSG00000248015.2,4,6,8,7
ENSG00000130005.7,167,211,233,236
ENSG00000071626.12,230,255,1330,1502
ENSG00000267759.1,0,0,8,3
ENSG00000115268.5,1277,1570,3856,4313
ENSG00000268798.1,7,6,1,4
ENSG00000115266.7,1268,1555,85,80
ENSG00000267317.1,5,12,68,66
ENSG00000119559.11,116,153,166,200
ENSG00000115257.11,25,24,40,46
ENSG00000267715.1,0,0,4,3
ENSG00000115255.6,51,89,105,160
ENSG00000185761.6,9,10,38,69
ENSG00000267092.1,0,1,0,1
ENSG00000185988.7,7,15,3,3
ENSG00000266399.1,0,0,0,0
ENSG00000181588.15,35,85,240,270
ENSG00000222720.1,0,0,0,0
ENSG00000239367.2,0,0,2,0
ENSG00000267161.1,12,8,47,42
ENSG00000071655.13,266,339,442,490
ENSG00000267059.2,14,13,11,7
ENSG00000266926.1,0,0,4,4
ENSG00000127540.7,66,101,76,99
ENSG00000071564.10,90,158,1331,1460
ENSG00000252933.1,0,0,3,2
ENSG00000267073.1,0,0,1,5
ENSG00000205922.4,0,0,0,0
ENSG00000130270.12,1,1,82,110
ENSG00000267007.1,0,0,0,0
ENSG00000079313.7,279,396,398,402
ENSG00000223244.1,0,0,0,0
ENSG00000267244.1,5,2,17,18
ENSG00000267125.1,0,0,0,0
ENSG00000129911.4,142,244,221,252
ENSG00000267141.1,1,0,1,1
ENSG00000261526.1,4,4,12,6
ENSG00000267232.1,0,0,0,0
ENSG00000129968.11,643,828,385,460
ENSG00000227500.5,154,153,295,332
ENSG00000213638.4,5,9,10,8
ENSG00000198683.2,0,0,0,0
ENSG00000133275.11,276,355,700,795
ENSG00000180846.4,0,1,0,0
ENSG00000133243.4,989,1234,861,897
