"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000183186.6",105.828726817958,4.12780600380493,0.397693428022232,10.3793669016179,3.07809604203422e-25,2.46247683362738e-24
"ENSG00000129946.6",216.18711666739,1.96825791103621,0.24394754153146,8.06836543086202,7.12455354643356e-16,4.98718748250349e-15
"ENSG00000099822.2",612.665583273738,3.32225101678956,0.15647056806613,21.2324340471843,4.79155125668655e-100,1.34163435187223e-98
"ENSG00000070404.5",151.509039665778,-1.93615890085925,0.298953411617722,-6.47645695154354,9.39013901512277e-11,4.206782278775e-10
"ENSG00000099864.13",1937.84657908122,4.79862626388569,0.10634346496489,45.12384720086,0,0
"ENSG00000099812.6",80.1697393816416,-6.20341261487121,0.905419831871969,-6.8514211821996,7.31198823611874e-12,3.89972705926333e-11
"ENSG00000011304.12",1523.01818615972,-3.5314197300962,0.11684666622024,-30.2226828058573,1.19275374849512e-200,4.45294732771513e-199
"ENSG00000129951.14",176.988778466685,1.99639480391755,0.259351739868735,7.69763412779873,1.3860856620751e-14,9.13185847955357e-14
"ENSG00000172232.5",68.4958854788677,-4.35077210289256,0.623268110733151,-6.98057870757216,2.93966613317613e-12,1.73285582587224e-11
"ENSG00000196415.5",45.8450091943451,-4.11320945885,0.713300638182268,-5.76644578551318,8.09607370071061e-09,3.23842948028424e-08
"ENSG00000197561.2",113.965648851896,-9.75338550299534,1.47337130384137,-6.61977430778402,3.59747693552066e-11,1.67882256990964e-10
"ENSG00000116017.6",260.587442147883,-3.64401301074569,0.276471500823609,-13.1804290854217,1.13742059343063e-39,1.59238883080288e-38
"ENSG00000064666.10",612.070279534473,-5.34691354397466,0.259774627390689,-20.5828937093735,3.90650727889232e-94,7.29214692059899e-93
"ENSG00000064687.8",140.776872227725,-2.2449776974151,0.323447685868042,-6.94077526444567,3.89953944511859e-12,2.18374208926641e-11
"ENSG00000180448.6",261.055987738147,-2.82930266567064,0.245122357504056,-11.5424096540187,8.06342249502745e-31,8.21003017675522e-30
"ENSG00000167468.12",1355.49468086211,0.747771320749015,0.0981489490971149,7.61873996235173,2.56163919956119e-14,1.59390883528252e-13
"ENSG00000064932.11",250.950862571478,-2.62376867195907,0.248380330547058,-10.5635122804621,4.39888130606339e-26,3.78980543291615e-25
"ENSG00000099625.8",154.783116358532,2.66157800350614,0.297325926495204,8.95171852276757,3.49990456363255e-19,2.61326207417897e-18
"ENSG00000167470.8",519.065609042459,-0.968530311996703,0.153101827589818,-6.32605323687929,2.51511074282891e-10,1.08343231998784e-09
"ENSG00000099622.9",1742.69465180521,1.83170122978426,0.0888552699473254,20.6144354844695,2.03684314258629e-94,4.5625286393933e-93
"ENSG00000160953.10",403.814824716504,1.11155462408276,0.167128655750106,6.65089190775742,2.91322181769505e-11,1.437561332242e-10
"ENSG00000267372.1",50.4339537922584,3.54390154815845,0.533002573271403,6.64893890925721,2.95213487871126e-11,1.437561332242e-10
"ENSG00000071626.12",664.049089377316,-1.49609368970665,0.138647387846535,-10.7906374071947,3.81136821605845e-27,3.55727700165456e-26
"ENSG00000115268.5",2431.84150134277,-0.474303612998071,0.078568559664917,-6.0368118624155,1.57188807441148e-09,6.52042460496615e-09
"ENSG00000115266.7",1037.65765910253,5.14092685718615,0.154892424367596,33.1903053243296,1.48567431043342e-241,8.31977613842717e-240
"ENSG00000071564.10",571.193446571821,-2.45325467834,0.180684456376066,-13.5775634913163,5.44063561010482e-42,8.70501697616772e-41
"ENSG00000129968.11",671.235434732996,1.84545038372221,0.142076303401028,12.9891497705511,1.40984565651329e-38,1.7544745947721e-37
"ENSG00000133243.4",1098.91470224138,1.38282359970163,0.108902658880998,12.697794653597,6.08195024593425e-37,6.81178427544636e-36
